strategy,breakout_atr_mult,stop_atr_mult,vol_mult,max_range_pct,total_trades,win_rate,profit_factor,avg_r,max_dd,total_return,sharpe,final_balance
momentum,0.5,2.5,1.5,0.04,239,33.47,1.01,0.0042,49.16,-7.12,0.05,92.88
momentum,0.5,3.0,1.3,0.03,236,33.47,1.01,0.0042,54.75,-7.08,0.05,92.92
momentum,0.5,2.5,1.3,0.03,240,33.33,1.0,0.0,46.01,-9.06,0.0,90.94
momentum,0.6,3.0,2.0,0.05,180,33.33,1.0,0.0,40.98,-6.86,0.0,93.14
momentum,0.3,2.5,1.5,0.03,259,33.2,0.99,-0.0039,57.23,-11.48,-0.04,88.52
momentum,0.3,2.5,2.0,0.04,220,33.18,0.99,-0.0045,44.67,-10.1,-0.05,89.9
momentum,0.4,2.5,2.0,0.04,206,33.01,0.99,-0.0097,40.12,-11.43,-0.11,88.57
momentum,0.4,3.0,1.5,0.03,245,33.06,0.99,-0.0082,58.8,-12.8,-0.09,87.2
momentum,0.6,2.5,2.0,0.05,184,33.15,0.99,-0.0054,38.71,-8.84,-0.06,91.16
momentum,0.6,3.0,2.0,0.04,175,33.14,0.99,-0.0057,41.0,-8.5,-0.06,91.5
momentum,0.6,3.0,2.5,0.03,136,33.09,0.99,-0.0074,41.33,-7.04,-0.08,92.96
momentum,0.6,3.0,2.5,0.04,139,33.09,0.99,-0.0072,41.36,-7.22,-0.08,92.78
momentum,0.4,2.5,2.0,0.03,197,32.99,0.98,-0.0102,41.96,-11.0,-0.11,89.0
momentum,0.6,2.5,2.0,0.04,180,32.78,0.98,-0.0167,38.71,-12.22,-0.19,87.78
momentum,0.6,3.0,2.5,0.05,143,32.87,0.98,-0.014,41.95,-9.11,-0.16,90.89
momentum,0.5,2.5,2.5,0.03,147,32.65,0.97,-0.0204,42.66,-11.08,-0.23,88.92
momentum,0.5,3.0,1.5,0.03,223,32.74,0.97,-0.0179,55.23,-15.45,-0.2,84.55
momentum,0.4,2.5,1.3,0.03,271,32.47,0.96,-0.0258,57.87,-21.83,-0.29,78.17
momentum,0.4,3.0,1.3,0.03,265,32.45,0.96,-0.0264,61.29,-21.53,-0.3,78.47
momentum,0.5,2.5,2.0,0.05,198,32.32,0.96,-0.0303,44.2,-17.82,-0.34,82.18
momentum,0.5,2.5,2.5,0.04,151,32.45,0.96,-0.0265,42.66,-13.02,-0.3,86.98
momentum,0.6,2.5,2.5,0.03,136,32.35,0.96,-0.0294,40.24,-12.46,-0.33,87.54
momentum,0.3,3.0,2.0,0.05,215,32.09,0.95,-0.0372,44.61,-21.59,-0.42,78.41
momentum,0.4,3.0,1.3,0.05,270,32.22,0.95,-0.0333,56.54,-24.8,-0.38,75.2
momentum,0.5,2.5,2.5,0.05,155,32.26,0.95,-0.0323,43.8,-14.81,-0.37,85.19
