symbol,setup,direction,entry_dt,exit_dt,entry_price,stop_price,tp_price,exit_price,outcome,r_multiple,pnl_pct,balance_after
ETHUSDT,gap,short,2024-10-18T12:13:00-04:00,2024-10-18T12:14:00-04:00,2630.16,2631.505095,2627.4698099999996,2631.505095,SL,-1.0,-1.0,11062.92
ETHUSDT,premarket,long,2024-10-18T13:05:00-04:00,2024-10-18T13:22:00-04:00,2652.64,2647.865405,2662.1891899999996,2647.865405,SL,-1.0,-1.0,10952.29
ETHUSDT,gap,short,2024-10-19T10:37:00-04:00,2024-10-19T10:38:00-04:00,2642.6,2644.7717249999996,2638.2565500000005,2644.7717249999996,SL,-1.0,-1.0,10842.77
ETHUSDT,gap,short,2024-10-19T10:45:00-04:00,2024-10-19T10:46:00-04:00,2644.4,2646.1524149999996,2640.895170000001,2646.1524149999996,SL,-1.0,-1.0,10734.34
ETHUSDT,gap,short,2024-10-20T09:40:00-04:00,2024-10-20T09:53:00-04:00,2651.92,2655.9273,2643.9054000000006,2655.9273,SL,-1.0,-1.0,10627.0
ETHUSDT,gap,short,2024-10-21T10:13:00-04:00,2024-10-21T10:16:00-04:00,2677.66,2680.1894249999996,2672.6011500000004,2680.1894249999996,SL,-1.0,-1.0,10520.73
ETHUSDT,gap,short,2024-10-21T12:01:00-04:00,2024-10-21T12:04:00-04:00,2676.44,2679.23895,2670.8421000000003,2679.23895,SL,-1.0,-1.0,10415.52
ETHUSDT,gap,long,2024-10-22T09:37:00-04:00,2024-10-22T09:41:00-04:00,2626.21,2618.1802549999998,2642.2694900000006,2618.1802549999998,SL,-1.0,-1.0,10311.36
ETHUSDT,gap,short,2024-10-22T10:28:00-04:00,2024-10-22T10:30:00-04:00,2617.07,2619.96933,2611.2713400000007,2619.96933,SL,-1.0,-1.0,10208.25
ETHUSDT,first5,long,2024-10-23T09:45:00-04:00,2024-10-23T10:04:00-04:00,2581.48,2575.0518300000003,2594.3363399999994,2575.0518300000003,SL,-1.0,-1.0,10106.17
ETHUSDT,gap,long,2024-10-24T09:54:00-04:00,2024-10-24T10:03:00-04:00,2535.85,2529.444645,2548.6607099999997,2529.444645,SL,-1.0,-1.0,10005.11
ETHUSDT,gap,long,2024-10-24T10:23:00-04:00,2024-10-24T10:25:00-04:00,2517.34,2513.88243,2524.25514,2524.25514,TP,2.0,2.0,10205.21
ETHUSDT,gap,short,2024-10-25T11:41:00-04:00,2024-10-25T11:42:00-04:00,2532.1,2533.095915,2530.10817,2533.095915,SL,-1.0,-1.0,10103.16
ETHUSDT,gap,short,2024-10-25T12:13:00-04:00,2024-10-25T12:31:00-04:00,2531.2,2535.6672,2522.2655999999997,2522.2655999999997,TP,2.0,2.0,10305.22
ETHUSDT,gap,long,2024-10-26T09:56:00-04:00,2024-10-26T09:59:00-04:00,2466.29,2464.7670000000003,2469.3359999999993,2464.7670000000003,SL,-1.0,-1.0,10202.17
ETHUSDT,gap,long,2024-10-26T10:05:00-04:00,2024-10-26T10:17:00-04:00,2465.65,2462.4581550000003,2472.0336899999998,2462.4581550000003,SL,-1.0,-1.0,10100.15
ETHUSDT,gap,short,2024-10-27T10:29:00-04:00,2024-10-27T10:31:00-04:00,2490.9,2492.6457,2487.4086,2492.6457,SL,-1.0,-1.0,9999.15
