symbol,strategy,direction,entry_ms,exit_ms,entry_price,stop_price,tp_price,exit_price,qty,outcome,r_multiple,pnl_usdt,balance_before,balance_after
ASTERUSDT,volatility,short,1776998700000,1777032900000,0.671,0.6729931923822473,0.6670136152355055,0.6670136152355055,1964.0,TP,2.0,7.83,195.75,203.58
BNBUSDT,momentum,short,1777000500000,1777018500000,634.5,637.1990312666314,629.1019374667371,637.1990312666314,1.5,SL,-1.0,-4.07,203.58,199.51
BNBUSDT,volatility,short,1777001400000,1777014000000,633.8,635.8296824892611,629.7406350214776,635.8296824892611,1.96,SL,-1.0,-3.99,199.51,195.52
XRPUSDT,volatility,short,1777004100000,1777018500000,1.4262,1.4329943246920276,1.4126113506159446,1.4329943246920276,575.5,SL,-1.0,-3.91,195.52,191.61
ETCUSDT,volatility,short,1777075200000,1777079700000,8.491,8.524650123853924,8.423699752292151,8.524650123853924,113.8,SL,-1.0,-3.83,191.61,187.78
SKYUSDT,volatility,short,1777081500000,1777086900000,0.0833,0.08388839279253595,0.0821232144149281,0.08388839279253595,6380.0,SL,-1.0,-3.76,187.78,184.02
DOTUSDT,volatility,long,1777089600000,1777091400000,1.2692,1.2617648361607847,1.2840703276784309,1.2617648361607847,494.9,SL,-1.0,-3.68,184.02,180.34
SUIUSDT,volatility,short,1777093200000,1777094100000,0.9426,0.9465685681568735,0.934662863686253,0.9465685681568735,900.0,SL,-1.0,-3.61,180.34,176.73
ADAUSDT,volatility,long,1777096800000,1777099500000,0.2523,0.2511550642127088,0.2545898715745825,0.2511550642127088,3087.0,SL,-1.0,-3.53,176.73,173.2
BNBUSDT,volatility,short,1777161600000,1777163400000,627.5,628.6515724267439,625.1968551465122,628.6515724267439,3.0,SL,-1.0,-3.46,173.2,169.74
XLMUSDT,volatility,short,1777164300000,1777167000000,0.1688,0.16932171818255318,0.16775656363489366,0.16932171818255318,6506.0,SL,-1.0,-3.39,169.74,166.35
